sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T08:16:30.146Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T08:16:30.146Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T08:16:30.146Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T08:16:30.146Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T08:16:30.146Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T08:16:30.146Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T08:16:30.146Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T08:16:45.077Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T08:17:18.268Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T08:17:18.268Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T08:17:18.279Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.279Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.279Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.281Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.280Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.279Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.280Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.281Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.281Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.279Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:18.790Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:17:18.902Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:18.902Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:18.902Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:18.910Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T08:17:18.950Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:18.970Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:18.971Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:19.081Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:19.241Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:19.241Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:19.449Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:19.909Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:19.909Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:19.909Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:19.909Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:19.926Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:20.182Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:20.452Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:20.452Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:20.720Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:20.720Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:20.734Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:21.022Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:21.022Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:21.644Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:21.644Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:17:21.981Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:21.981Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:22.079Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:22.785Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:23.428Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:23.428Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:23.428Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:23.428Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:23.935Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:23.935Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:23.935Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:23.935Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:28.112Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:17:31.229Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:17:31.229Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:17:31.229Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:31.229Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:17:33.859Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:33.859Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:17:38.302Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:17:38.302Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:17:38.877Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
