sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+--------+--------+--------+---------+--------+------+-----+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN   |  AVG   |  MAX   |   SUM   |  P99   | 2XX  | 3XX | 4XX | 5XX |
+-------+--------+---------------------------------------------------+--------+--------+--------+---------+--------+------+-----+-----+-----+
| 3642  | GET    | ^/api/user/[^/]+/icon                             | 0.004  | 0.055  | 0.520  | 199.672 | 0.288  | 3639 | 0   | 3   | 0   |
| 26    | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.160  | 5.345  | 14.052 | 138.960 | 14.052 | 23   | 0   | 3   | 0   |
| 406   | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004  | 0.292  | 0.952  | 118.368 | 0.852  | 405  | 0   | 1   | 0   |
| 442   | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.004  | 0.246  | 0.832  | 108.908 | 0.732  | 440  | 0   | 2   | 0   |
| 52    | GET    | /api/livestream/search                            | 0.060  | 1.121  | 2.676  | 58.280  | 2.676  | 52   | 0   | 0   | 0   |
| 8     | GET    | ^/api/user/[^/]+/statistics                       | 0.656  | 6.867  | 10.756 | 54.932  | 10.756 | 7    | 0   | 1   | 0   |
| 349   | POST   | /api/register                                     | 0.008  | 0.143  | 0.508  | 49.988  | 0.348  | 347  | 0   | 1   | 1   |
| 161   | POST   | /api/livestream/reservation                       | 0.124  | 0.273  | 0.592  | 43.988  | 0.588  | 157  | 0   | 4   | 0   |
| 405   | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.004  | 0.095  | 0.660  | 38.528  | 0.304  | 403  | 0   | 2   | 0   |
| 384   | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.008  | 0.086  | 0.428  | 32.924  | 0.304  | 384  | 0   | 0   | 0   |
| 352   | POST   | /api/icon                                         | 0.016  | 0.084  | 0.612  | 29.712  | 0.328  | 342  | 0   | 0   | 10  |
| 355   | POST   | /api/login                                        | 0.004  | 0.053  | 0.496  | 18.872  | 0.320  | 351  | 0   | 4   | 0   |
| 1     | POST   | /api/initialize                                   | 15.765 | 15.765 | 15.765 | 15.765  | 15.765 | 1    | 0   | 0   | 0   |
| 2     | GET    | ^/api/livestream/[0-9]+/statistics                | 3.992  | 4.072  | 4.152  | 8.144   | 4.152  | 2    | 0   | 0   | 0   |
| 144   | GET    | /api/tag                                          | 0.004  | 0.053  | 0.316  | 7.636   | 0.300  | 144  | 0   | 0   | 0   |
| 53    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.012  | 0.133  | 0.372  | 7.032   | 0.372  | 48   | 0   | 5   | 0   |
| 35    | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.008  | 0.080  | 0.324  | 2.784   | 0.324  | 35   | 0   | 0   | 0   |
| 41    | POST   | ^/api/livestream/[0-9]+/enter                     | 0.004  | 0.062  | 0.284  | 2.548   | 0.284  | 40   | 0   | 1   | 0   |
| 30    | GET    | ^/api/livestream/[0-9]+/report                    | 0.004  | 0.064  | 0.292  | 1.924   | 0.292  | 30   | 0   | 0   | 0   |
| 102   | GET    | /api/livestream                                   | 0.004  | 0.017  | 0.144  | 1.752   | 0.120  | 102  | 0   | 0   | 0   |
| 25    | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.004  | 0.042  | 0.208  | 1.056   | 0.208  | 25   | 0   | 0   | 0   |
| 5     | GET    | ^/api/user/[^/]+/livestream                       | 0.044  | 0.130  | 0.200  | 0.652   | 0.200  | 5    | 0   | 0   | 0   |
| 7     | GET    | ^/api/user/[^/]+/theme                            | 0.016  | 0.042  | 0.120  | 0.292   | 0.120  | 7    | 0   | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.008  | 0.008  | 0.008  | 0.008   | 0.008  | 1    | 0   | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000  | 0.001  | 0.004  | 0.004   | 0.004  | 4    | 0   | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.000  | 0.000  | 0.000  | 0.000   | 0.000  | 1    | 0   | 0   | 0   |
+-------+--------+---------------------------------------------------+--------+--------+--------+---------+--------+------+-----+-----+-----+
