sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+-------+--------+--------+---------+--------+------+-----+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN  |  AVG   |  MAX   |   SUM   |  P99   | 2XX  | 3XX | 4XX | 5XX |
+-------+--------+---------------------------------------------------+-------+--------+--------+---------+--------+------+-----+-----+-----+
| 13    | GET    | ^/api/user/[^/]+/statistics                       | 3.841 | 12.955 | 20.000 | 168.421 | 20.000 | 7    | 0   | 6   | 0   |
| 651   | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.243  | 1.032  | 157.924 | 0.920  | 649  | 0   | 2   | 0   |
| 686   | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.052 | 0.215  | 0.936  | 147.488 | 0.868  | 683  | 0   | 3   | 0   |
| 26    | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.160 | 4.239  | 9.372  | 110.208 | 9.372  | 23   | 0   | 3   | 0   |
| 96    | GET    | /api/livestream/search                            | 0.040 | 0.879  | 1.884  | 84.392  | 1.884  | 96   | 0   | 0   | 0   |
| 569   | POST   | /api/register                                     | 0.004 | 0.111  | 0.432  | 63.184  | 0.228  | 565  | 0   | 3   | 1   |
| 201   | POST   | /api/livestream/reservation                       | 0.004 | 0.236  | 0.456  | 47.412  | 0.440  | 197  | 0   | 4   | 0   |
| 5988  | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.006  | 0.060  | 38.780  | 0.028  | 5987 | 0   | 1   | 0   |
| 634   | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.033  | 0.124  | 21.180  | 0.084  | 633  | 0   | 1   | 0   |
| 605   | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.032  | 0.096  | 19.432  | 0.076  | 605  | 0   | 0   | 0   |
| 4     | GET    | ^/api/livestream/[0-9]+/statistics                | 1.068 | 3.292  | 7.024  | 13.168  | 7.024  | 2    | 0   | 2   | 0   |
| 580   | POST   | /api/icon                                         | 0.004 | 0.021  | 0.132  | 11.920  | 0.092  | 580  | 0   | 0   | 0   |
| 1     | POST   | /api/initialize                                   | 2.620 | 2.620  | 2.620  | 2.620   | 2.620  | 1    | 0   | 0   | 0   |
| 573   | POST   | /api/login                                        | 0.016 | 0.004  | 0.036  | 2.396   | 0.028  | 571  | 0   | 2   | 0   |
| 57    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.029  | 0.136  | 1.628   | 0.136  | 55   | 0   | 2   | 0   |
| 152   | GET    | /api/livestream                                   | 0.004 | 0.009  | 0.116  | 1.400   | 0.072  | 152  | 0   | 0   | 0   |
| 105   | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.012  | 0.196  | 1.256   | 0.124  | 105  | 0   | 0   | 0   |
| 187   | GET    | /api/tag                                          | 0.000 | 0.005  | 0.040  | 0.980   | 0.028  | 187  | 0   | 0   | 0   |
| 5     | GET    | ^/api/user/[^/]+/livestream                       | 0.056 | 0.081  | 0.128  | 0.404   | 0.128  | 5    | 0   | 0   | 0   |
| 53    | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.006  | 0.024  | 0.304   | 0.024  | 53   | 0   | 0   | 0   |
| 64    | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.005  | 0.032  | 0.300   | 0.032  | 64   | 0   | 0   | 0   |
| 62    | POST   | ^/api/livestream/[0-9]+/enter                     | 0.020 | 0.005  | 0.020  | 0.296   | 0.020  | 62   | 0   | 0   | 0   |
| 12    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.007  | 0.020  | 0.080   | 0.020  | 12   | 0   | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000  | 0.000  | 0.000   | 0.000  | 4    | 0   | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000  | 0.000  | 0.000   | 0.000  | 1    | 0   | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.000 | 0.000  | 0.000  | 0.000   | 0.000  | 1    | 0   | 0   | 0   |
+-------+--------+---------------------------------------------------+-------+--------+--------+---------+--------+------+-----+-----+-----+
