sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-----+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN  |  AVG  |  MAX   |   SUM   |  P99   | 2XX  | 3XX | 4XX | 5XX |
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-----+-----+-----+
| 897   | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.044 | 0.241 | 1.096  | 215.919 | 0.888  | 891  | 0   | 6   | 0   |
| 928   | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.224 | 1.008  | 207.561 | 0.888  | 926  | 0   | 2   | 0   |
| 26    | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.008 | 4.640 | 10.976 | 120.649 | 10.976 | 23   | 0   | 3   | 0   |
| 91    | GET    | /api/livestream/search                            | 0.036 | 0.932 | 1.896  | 84.770  | 1.896  | 90   | 0   | 1   | 0   |
| 493   | POST   | /api/register                                     | 0.004 | 0.135 | 0.252  | 66.380  | 0.236  | 489  | 0   | 3   | 1   |
| 7932  | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.007 | 0.072  | 57.309  | 0.028  | 7932 | 0   | 0   | 0   |
| 203   | POST   | /api/livestream/reservation                       | 0.076 | 0.226 | 0.444  | 45.917  | 0.384  | 199  | 0   | 4   | 0   |
| 839   | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.035 | 0.112  | 29.540  | 0.080  | 837  | 0   | 2   | 0   |
| 823   | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.033 | 0.088  | 26.872  | 0.076  | 823  | 0   | 0   | 0   |
| 504   | POST   | /api/icon                                         | 0.004 | 0.021 | 0.096  | 10.802  | 0.088  | 504  | 0   | 0   | 0   |
| 497   | POST   | /api/login                                        | 0.004 | 0.006 | 0.036  | 2.812   | 0.020  | 495  | 0   | 2   | 0   |
| 15    | GET    | ^/api/user/[^/]+/statistics                       | 0.012 | 0.175 | 0.276  | 2.632   | 0.276  | 15   | 0   | 0   | 0   |
| 1     | POST   | /api/initialize                                   | 2.612 | 2.612 | 2.612  | 2.612   | 2.612  | 1    | 0   | 0   | 0   |
| 57    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.008 | 0.039 | 0.124  | 2.200   | 0.124  | 52   | 0   | 5   | 0   |
| 98    | GET    | /api/livestream                                   | 0.012 | 0.012 | 0.060  | 1.220   | 0.060  | 98   | 0   | 0   | 0   |
| 192   | GET    | /api/tag                                          | 0.004 | 0.006 | 0.024  | 1.212   | 0.024  | 192  | 0   | 0   | 0   |
| 5     | GET    | ^/api/livestream/[0-9]+/statistics                | 0.020 | 0.217 | 0.380  | 1.084   | 0.380  | 5    | 0   | 0   | 0   |
| 13    | GET    | ^/api/user/[^/]+/livestream                       | 0.020 | 0.074 | 0.196  | 0.960   | 0.196  | 13   | 0   | 0   | 0   |
| 84    | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.010 | 0.124  | 0.860   | 0.124  | 84   | 0   | 0   | 0   |
| 87    | POST   | ^/api/livestream/[0-9]+/enter                     | 0.004 | 0.007 | 0.028  | 0.620   | 0.028  | 87   | 0   | 0   | 0   |
| 77    | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.007 | 0.048  | 0.504   | 0.048  | 77   | 0   | 0   | 0   |
| 53    | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.008 | 0.006 | 0.024  | 0.304   | 0.024  | 53   | 0   | 0   | 0   |
| 14    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.006 | 0.016  | 0.088   | 0.016  | 14   | 0   | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.001 | 0.004  | 0.004   | 0.004  | 4    | 0   | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000  | 0.000   | 0.000  | 1    | 0   | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000  | 0.000   | 0.000  | 1    | 0   | 0   | 0   |
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-----+-----+-----+
