sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+------+-------+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |   SUM   |  P99  | 2XX  |  3XX  | 4XX | 5XX |
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+------+-------+-----+-----+
| 1492  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.012 | 0.165 | 0.768 | 246.226 | 0.612 | 1489 | 0     | 3   | 0   |
| 1527  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.153 | 0.884 | 233.436 | 0.600 | 1520 | 0     | 7   | 0   |
| 26    | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.168 | 5.164 | 8.808 | 134.270 | 8.808 | 23   | 0     | 3   | 0   |
| 120   | GET    | /api/livestream/search                            | 0.016 | 0.503 | 1.160 | 60.413  | 1.068 | 120  | 0     | 0   | 0   |
| 619   | POST   | /api/register                                     | 0.004 | 0.092 | 0.208 | 56.805  | 0.168 | 616  | 0     | 2   | 1   |
| 211   | POST   | /api/livestream/reservation                       | 0.096 | 0.213 | 0.376 | 44.881  | 0.368 | 208  | 0     | 3   | 0   |
| 1391  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.021 | 0.120 | 28.847  | 0.072 | 1390 | 0     | 1   | 0   |
| 1366  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.018 | 0.080 | 24.281  | 0.056 | 1366 | 0     | 0   | 0   |
| 633   | POST   | /api/icon                                         | 0.004 | 0.020 | 0.128 | 12.800  | 0.084 | 633  | 0     | 0   | 0   |
| 14527 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.000 | 0.016 | 5.032   | 0.004 | 23   | 14504 | 0   | 0   |
| 20    | GET    | ^/api/user/[^/]+/statistics                       | 0.008 | 0.175 | 0.316 | 3.496   | 0.316 | 20   | 0     | 0   | 0   |
| 1     | POST   | /api/initialize                                   | 2.524 | 2.524 | 2.524 | 2.524   | 2.524 | 1    | 0     | 0   | 0   |
| 9     | GET    | ^/api/livestream/[0-9]+/statistics                | 0.020 | 0.276 | 0.500 | 2.484   | 0.500 | 9    | 0     | 0   | 0   |
| 624   | POST   | /api/login                                        | 0.004 | 0.004 | 0.028 | 2.384   | 0.016 | 622  | 0     | 2   | 0   |
| 171   | GET    | /api/livestream                                   | 0.004 | 0.007 | 0.064 | 1.208   | 0.036 | 171  | 0     | 0   | 0   |
| 204   | GET    | /api/tag                                          | 0.004 | 0.005 | 0.076 | 0.932   | 0.024 | 204  | 0     | 0   | 0   |
| 128   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.007 | 0.040 | 0.868   | 0.036 | 128  | 0     | 0   | 0   |
| 126   | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.007 | 0.040 | 0.848   | 0.036 | 125  | 0     | 0   | 1   |
| 18    | GET    | ^/api/user/[^/]+/livestream                       | 0.008 | 0.040 | 0.096 | 0.720   | 0.096 | 18   | 0     | 0   | 0   |
| 59    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.012 | 0.064 | 0.716   | 0.064 | 52   | 0     | 7   | 0   |
| 139   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.004 | 0.005 | 0.032 | 0.688   | 0.024 | 139  | 0     | 0   | 0   |
| 74    | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.004 | 0.016 | 0.304   | 0.016 | 74   | 0     | 0   | 0   |
| 19    | GET    | ^/api/user/[^/]+/theme                            | 0.000 | 0.006 | 0.016 | 0.112   | 0.016 | 19   | 0     | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 4    | 0     | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1    | 0     | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1    | 0     | 0   | 0   |
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+------+-------+-----+-----+
