sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T08:44:36.403Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T08:44:36.403Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T08:44:36.403Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T08:44:36.403Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T08:44:36.402Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T08:44:36.403Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T08:44:36.403Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T08:44:38.931Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T08:44:44.726Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T08:44:44.726Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T08:44:44.736Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.736Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:44.855Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:44.855Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:44.949Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:44.979Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:44:45.166Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T08:44:45.217Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.217Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:45.217Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:45.218Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.399Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.399Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:45.399Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:45.404Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.404Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:45.404Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:45.404Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:45.562Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.772Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.830Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:44:45.934Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.934Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:45.934Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:45.954Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:45.954Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:45.954Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:45.954Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:46.058Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.058Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:44:46.146Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:46.147Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.147Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:46.247Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:46.342Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:46.365Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:46.365Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.365Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:46.399Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:46.399Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.399Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:46.454Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:46.454Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.536Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.700Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:46.736Z	info	isupipe-benchmarker	DNS水責め負荷が上昇します	{"parallelis": 3}
2026-09-22T08:44:46.882Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.978Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:44:46.978Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:46.978Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:46.978Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:46.993Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:44:47.208Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:47.208Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:47.208Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:47.223Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:47.233Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:47.432Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:47.432Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:47.432Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:47.432Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:48.091Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:44:48.190Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:48.190Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:48.190Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:48.190Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:48.276Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:48.276Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:48.276Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:48.276Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:48.586Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:48.587Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:48.587Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:48.587Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:48.614Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:48.614Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:48.614Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:48.614Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:48.645Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:48.646Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:44:48.829Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:49.773Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:49.773Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:50.004Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:50.004Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:50.004Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:50.004Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:50.317Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:50.317Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:50.317Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:50.317Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:50.609Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:50.610Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:50.610Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:50.610Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:51.076Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:51.076Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T08:44:51.309Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:51.433Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:44:51.433Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:44:51.433Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:44:51.433Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:44:51.446Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
