sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-------+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN  |  AVG  |  MAX   |   SUM   |  P99   | 2XX  |  3XX  | 4XX | 5XX |
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-------+-----+-----+
| 20    | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.160 | 8.448 | 20.004 | 168.967 | 20.004 | 16   | 0     | 4   | 0   |
| 78063 | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.001 | 0.036  | 106.026 | 0.008  | 80   | 77982 | 1   | 0   |
| 6856  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.011 | 0.084  | 74.861  | 0.036  | 6856 | 0     | 0   | 0   |
| 393   | POST   | /api/register                                     | 0.004 | 0.189 | 0.344  | 74.246  | 0.324  | 390  | 0     | 2   | 1   |
| 6283  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.012 | 0.068  | 73.786  | 0.036  | 6280 | 0     | 3   | 0   |
| 6891  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.020 | 0.010 | 0.076  | 71.042  | 0.036  | 6888 | 0     | 3   | 0   |
| 6274  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.010 | 0.064  | 59.644  | 0.032  | 6273 | 0     | 1   | 0   |
| 232   | POST   | /api/livestream/reservation                       | 0.068 | 0.198 | 0.392  | 45.977  | 0.360  | 228  | 0     | 4   | 0   |
| 52    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.016 | 0.582 | 1.064  | 30.252  | 1.064  | 51   | 0     | 1   | 0   |
| 63    | GET    | ^/api/user/[^/]+/statistics                       | 0.008 | 0.432 | 0.956  | 27.241  | 0.956  | 62   | 0     | 1   | 0   |
| 251   | GET    | /api/livestream/search                            | 0.004 | 0.084 | 0.400  | 21.060  | 0.372  | 251  | 0     | 0   | 0   |
| 411   | POST   | /api/icon                                         | 0.004 | 0.024 | 0.084  | 10.008  | 0.064  | 411  | 0     | 0   | 0   |
| 598   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.016 | 0.010 | 0.048  | 5.816   | 0.036  | 598  | 0     | 0   | 0   |
| 588   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.009 | 0.052  | 5.332   | 0.028  | 588  | 0     | 0   | 0   |
| 397   | POST   | /api/login                                        | 0.004 | 0.010 | 0.044  | 3.860   | 0.036  | 395  | 0     | 2   | 0   |
| 1     | POST   | /api/initialize                                   | 2.556 | 2.556 | 2.556  | 2.556   | 2.556  | 1    | 0     | 0   | 0   |
| 222   | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.010 | 0.032  | 2.256   | 0.028  | 221  | 0     | 0   | 1   |
| 119   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.004 | 0.010 | 0.032  | 1.188   | 0.032  | 119  | 0     | 0   | 0   |
| 205   | GET    | /api/livestream                                   | 0.004 | 0.005 | 0.024  | 0.972   | 0.024  | 205  | 0     | 0   | 0   |
| 60    | GET    | ^/api/user/[^/]+/livestream                       | 0.004 | 0.014 | 0.056  | 0.840   | 0.056  | 60   | 0     | 0   | 0   |
| 59    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.013 | 0.036  | 0.788   | 0.036  | 50   | 0     | 9   | 0   |
| 268   | GET    | /api/tag                                          | 0.004 | 0.003 | 0.028  | 0.776   | 0.024  | 268  | 0     | 0   | 0   |
| 62    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.011 | 0.040  | 0.656   | 0.040  | 62   | 0     | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.001 | 0.004  | 0.004   | 0.004  | 4    | 0     | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.004 | 0.004 | 0.004  | 0.004   | 0.004  | 1    | 0     | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000  | 0.000   | 0.000  | 1    | 0     | 0   | 0   |
+-------+--------+---------------------------------------------------+-------+-------+--------+---------+--------+------+-------+-----+-----+
