procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2347828  44324 1229348    0    0   118   255  111  167  1  1 97  1  0 2026-09-22 08:51:00
 0  0      0 2347576  44324 1229332    0    0     0     0  183  242  0  1 99  0  0 2026-09-22 08:51:01
 0  0      0 2347576  44324 1229332    0    0     0     0   33   45  0  0 100  0  0 2026-09-22 08:51:02
 0  0      0 2347576  44332 1229324    0    0     0    72   63   72  0  0 100  1  0 2026-09-22 08:51:03
 0  0      0 2347576  44332 1229332    0    0     0     0   37   46  0  0 100  0  0 2026-09-22 08:51:04
 0  0      0 2347576  44332 1229332    0    0     0     0   28   30  0  0 100  0  0 2026-09-22 08:51:05
 0  0      0 2347576  44332 1229332    0    0     0    12   55   60  0  0 100  0  0 2026-09-22 08:51:06
 1  0      0 2347576  44332 1229332    0    0     0     0   22   25  0  0 100  0  0 2026-09-22 08:51:07
 1  0      0 2347576  44332 1229332    0    0     0    32   34   40  0  0 100  0  0 2026-09-22 08:51:08
 1  0      0 2347576  44340 1229332    0    0     0    40   31   42  0  0 100  0  0 2026-09-22 08:51:09
 1  0      0 2347576  44340 1229332    0    0     0     0   25   34  0  0 100  0  0 2026-09-22 08:51:10
 1  0      0 2347576  44340 1229332    0    0     0     0   20   24  0  0 100  0  0 2026-09-22 08:51:11
 1  0      0 2347576  44340 1229332    0    0     0     0   22   30  0  0 100  0  0 2026-09-22 08:51:12
 2  0      0 2347576  44340 1229332    0    0     0     0   22   25  0  0 100  0  0 2026-09-22 08:51:13
 0  0      0 2347576  44348 1229332    0    0     0    32   59   68  0  0 100  0  0 2026-09-22 08:51:14
 0  0      0 2347576  44348 1229332    0    0     0     8   28   32  0  0 100  0  0 2026-09-22 08:51:15
 0  0      0 2347576  44348 1229332    0    0     0     0   22   30  0  0 100  0  0 2026-09-22 08:51:16
 0  0      0 2347576  44348 1229332    0    0     0     0   29   37  0  0 100  0  0 2026-09-22 08:51:17
 0  1      0 2347576  44356 1229324    0    0     0    16   24   34  0  0 100  0  0 2026-09-22 08:51:18
 0  0      0 2347576  44356 1229332    0    0     0     0   30   41  0  0 100  0  0 2026-09-22 08:51:19
 0  0      0 2347576  44356 1229332    0    0     0     0   20   31  0  0 100  0  0 2026-09-22 08:51:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2347576  44356 1229332    0    0     0     8   31   34  0  0 100  0  0 2026-09-22 08:51:21
 0  0      0 2347576  44356 1229332    0    0     0     0   21   32  0  0 100  0  0 2026-09-22 08:51:22
 0  0      0 2347576  44356 1229332    0    0     0  2984  273  495  0  0 98  3  0 2026-09-22 08:51:23
 0  0      0 2347576  44364 1229332    0    0     0    56   39   46  0  0 100  0  0 2026-09-22 08:51:24
 0  0      0 2347576  44364 1229332    0    0     0     0   21   32  0  0 100  0  0 2026-09-22 08:51:25
 0  0      0 2347576  44364 1229332    0    0     0     0   23   30  0  0 100  0  0 2026-09-22 08:51:26
 0  0      0 2347576  44364 1229332    0    0     0     8   32   30  0  0 100  0  0 2026-09-22 08:51:27
 0  0      0 2347576  44364 1229332    0    0     0     0   21   29  0  0 100  0  0 2026-09-22 08:51:28
 0  0      0 2347576  44372 1229324    0    0     0    16   27   34  0  0 100  1  0 2026-09-22 08:51:29
 0  0      0 2347576  44372 1229332    0    0     0     0   39   44  0  0 100  0  0 2026-09-22 08:51:30
 0  0      0 2347576  44372 1229332    0    0     0     0   22   30  0  0 100  0  0 2026-09-22 08:51:31
 0  0      0 2347576  44372 1229332    0    0     0     0   24   32  0  0 100  0  0 2026-09-22 08:51:32
 0  0      0 2347576  44372 1229332    0    0     0     8   32   28  0  0 100  0  0 2026-09-22 08:51:33
 0  0      0 2347576  44372 1229332    0    0     0     0   43   45  0  0 100  0  0 2026-09-22 08:51:34
 0  0      0 2347576  44380 1229332    0    0     0    24   37   40  0  1 100  0  0 2026-09-22 08:51:35
 0  0      0 2347576  44380 1229336    0    0     0     0   26   38  0  0 100  0  0 2026-09-22 08:51:36
 0  0      0 2347576  44380 1229336    0    0     0     0   22   24  0  0 100  0  0 2026-09-22 08:51:37
 0  0      0 2347576  44380 1229336    0    0     0     0   29   36  0  0 100  0  0 2026-09-22 08:51:38
 0  0      0 2347576  44380 1229336    0    0     0    12   31   33  0  1 100  0  0 2026-09-22 08:51:39
 0  0      0 2347576  44388 1229328    0    0     0    24   28   39  0  0 100  0  0 2026-09-22 08:51:40
 0  0      0 2347576  44388 1229340    0    0     0     0   31   33  0  0 100  0  0 2026-09-22 08:51:41
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2347576  44388 1229340    0    0     0     0   26   31  0  0 100  0  0 2026-09-22 08:51:42
 0  0      0 2347576  44388 1229340    0    0     0     0   21   25  0  0 100  0  0 2026-09-22 08:51:43
 0  0      0 2347576  44388 1229340    0    0     0     0   29   32  0  0 100  0  0 2026-09-22 08:51:44
 0  0      0 2347576  44396 1229332    0    0     0    36   34   44  0  1 100  0  0 2026-09-22 08:51:45
 0  0      0 2347576  44396 1229340    0    0     0    12   47   48  0  0 100  0  0 2026-09-22 08:51:46
 0  0      0 2347576  44396 1229340    0    0     0     0   22   29  0  0 100  0  0 2026-09-22 08:51:47
 0  0      0 2347576  44396 1229340    0    0     0     0   24   28  0  1 100  0  0 2026-09-22 08:51:48
 0  0      0 2347576  44396 1229340    0    0     0     0   24   26  0  0 100  0  0 2026-09-22 08:51:49
 0  0      0 2347576  44404 1229332    0    0     0    16   31   44  0  0 100  0  0 2026-09-22 08:51:50
 0  0      0 2347576  44404 1229340    0    0     0     8   39   45  0  0 100  0  0 2026-09-22 08:51:51
 0  0      0 2347576  44404 1229340    0    0     0     0   27   32  0  0 100  0  0 2026-09-22 08:51:52
 0  0      0 2347576  44404 1229340    0    0     0     0   27   26  0  0 100  0  0 2026-09-22 08:51:53
 0  0      0 2347576  44404 1229340    0    0     0     0   33   37  0  0 100  0  0 2026-09-22 08:51:54
 0  0      0 2347576  44412 1229332    0    0     0    16   30   43  0  0 99  0  0 2026-09-22 08:51:55
 0  0      0 2347576  44412 1229340    0    0     0     0   34   38  0  0 100  0  0 2026-09-22 08:51:56
 0  0      0 2347576  44412 1229340    0    0     0     8   36   31  0  0 100  0  0 2026-09-22 08:51:57
 0  0      0 2347576  44412 1229340    0    0     0     0   26   33  0  0 100  0  0 2026-09-22 08:51:58
 0  0      0 2347576  44412 1229340    0    0     0     0   25   26  0  0 100  0  0 2026-09-22 08:51:59
 0  0      0 2347576  44420 1229332    0    0     0    16   35   48  0  0 100  0  0 2026-09-22 08:52:00
 0  0      0 2347576  44420 1229340    0    0     0     0   79   87  0  0 99  0  0 2026-09-22 08:52:01
 0  0      0 2347576  44420 1229340    0    0     0     0   30   38  0  0 100  0  0 2026-09-22 08:52:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2347576  44420 1229340    0    0     0     8   43   47  0  0 100  0  0 2026-09-22 08:52:03
 0  0      0 2347576  44420 1229340    0    0     0     0   34   37  0  0 100  0  0 2026-09-22 08:52:04
