sudo: unable to resolve host ip-10-100-0-155: Name or service not known
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+-------+-----+-----+
| COUNT | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |   SUM   |  P99  |  2XX  |  3XX  | 4XX | 5XX |
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+-------+-----+-----+
| 95633 | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.002 | 0.016 | 206.644 | 0.008 | 89    | 95542 | 2   | 0   |
| 11813 | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.008 | 0.052 | 99.431  | 0.020 | 11810 | 0     | 3   | 0   |
| 9114  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.008 | 0.005 | 0.048 | 49.890  | 0.012 | 9114  | 0     | 0   | 0   |
| 9147  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.005 | 0.044 | 48.870  | 0.012 | 9146  | 0     | 1   | 0   |
| 8329  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.005 | 0.044 | 44.197  | 0.012 | 8327  | 0     | 2   | 0   |
| 1147  | POST   | /api/livestream/reservation                       | 0.016 | 0.038 | 0.084 | 43.897  | 0.068 | 1144  | 0     | 3   | 0   |
| 3624  | POST   | /api/icon                                         | 0.004 | 0.011 | 0.064 | 38.988  | 0.028 | 3622  | 0     | 2   | 0   |
| 3734  | GET    | /api/livestream/search                            | 0.004 | 0.008 | 0.168 | 30.684  | 0.124 | 3734  | 0     | 0   | 0   |
| 5489  | GET    | /api/livestream                                   | 0.004 | 0.005 | 0.020 | 29.074  | 0.012 | 5488  | 0     | 1   | 0   |
| 4838  | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.006 | 0.024 | 26.908  | 0.012 | 4838  | 0     | 0   | 0   |
| 3523  | POST   | /api/register                                     | 0.004 | 0.007 | 0.044 | 25.725  | 0.016 | 3521  | 0     | 1   | 1   |
| 2337  | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.000 | 0.010 | 0.044 | 23.308  | 0.028 | 2336  | 0     | 1   | 0   |
| 3529  | POST   | /api/login                                        | 0.004 | 0.006 | 0.024 | 20.216  | 0.012 | 3527  | 0     | 2   | 0   |
| 3564  | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.004 | 0.005 | 0.020 | 17.672  | 0.012 | 3564  | 0     | 0   | 0   |
| 83    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.016 | 0.069 | 0.124 | 5.716   | 0.124 | 83    | 0     | 0   | 0   |
| 82    | GET    | ^/api/user/[^/]+/statistics                       | 0.012 | 0.060 | 0.148 | 4.884   | 0.148 | 82    | 0     | 0   | 0   |
| 801   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.004 | 0.006 | 0.024 | 4.480   | 0.012 | 801   | 0     | 0   | 0   |
| 791   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.005 | 0.020 | 4.176   | 0.016 | 790   | 0     | 1   | 0   |
| 1203  | GET    | /api/tag                                          | 0.000 | 0.003 | 0.012 | 3.416   | 0.008 | 1203  | 0     | 0   | 0   |
| 1     | POST   | /api/initialize                                   | 2.592 | 2.592 | 2.592 | 2.592   | 2.592 | 1     | 0     | 0   | 0   |
| 62    | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.008 | 0.020 | 0.476   | 0.020 | 61    | 0     | 1   | 0   |
| 81    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.006 | 0.016 | 0.468   | 0.016 | 81    | 0     | 0   | 0   |
| 80    | GET    | ^/api/user/[^/]+/livestream                       | 0.004 | 0.005 | 0.012 | 0.428   | 0.012 | 80    | 0     | 0   | 0   |
| 4     | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 4     | 0     | 0   | 0   |
| 1     | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0     | 0   | 0   |
| 1     | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0     | 0   | 0   |
+-------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+-------+-----+-----+
