sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+-----+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |   SUM   |  P99  |  2XX  |  3XX   | 4XX | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+-----+-----+
| 21138  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.006 | 0.120 | 122.981 | 0.020 | 21133 | 0      | 5   | 0   |
| 181924 | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.001 | 0.008 | 104.861 | 0.004 | 136   | 181788 | 0   | 0   |
| 805    | POST   | /api/livestream/reservation                       | 0.020 | 0.065 | 0.172 | 52.105  | 0.136 | 801   | 0      | 4   | 0   |
| 15254  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.003 | 0.036 | 50.766  | 0.008 | 15253 | 0      | 1   | 0   |
| 15288  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.003 | 0.056 | 47.405  | 0.008 | 15287 | 0      | 1   | 0   |
| 13919  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.003 | 0.060 | 44.693  | 0.012 | 13918 | 0      | 1   | 0   |
| 4080   | POST   | /api/icon                                         | 0.004 | 0.010 | 0.120 | 41.880  | 0.048 | 4080  | 0      | 0   | 0   |
| 138    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.016 | 0.241 | 0.592 | 33.289  | 0.524 | 137   | 0      | 1   | 0   |
| 134    | GET    | ^/api/user/[^/]+/statistics                       | 0.012 | 0.244 | 0.736 | 32.716  | 0.696 | 132   | 0      | 2   | 0   |
| 12541  | GET    | /api/livestream                                   | 0.004 | 0.003 | 0.040 | 31.768  | 0.008 | 12540 | 0      | 1   | 0   |
| 2428   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.010 | 0.160 | 23.517  | 0.064 | 2428  | 0      | 0   | 0   |
| 4445   | GET    | /api/livestream/search                            | 0.004 | 0.005 | 0.212 | 23.184  | 0.076 | 4445  | 0      | 0   | 0   |
| 4011   | POST   | /api/register                                     | 0.000 | 0.005 | 0.044 | 19.188  | 0.016 | 4009  | 0      | 1   | 1   |
| 5966   | GET    | ^/api/livestream/[0-9]+/report                    | 0.000 | 0.003 | 0.064 | 16.921  | 0.008 | 5966  | 0      | 0   | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.003 | 0.024 | 13.792  | 0.008 | 4015  | 0      | 2   | 0   |
| 4171   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.004 | 0.002 | 0.036 | 10.256  | 0.008 | 4171  | 0      | 0   | 0   |
| 1351   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.003 | 0.096 | 4.353   | 0.012 | 1351  | 0      | 0   | 0   |
| 1342   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.000 | 0.003 | 0.052 | 4.016   | 0.012 | 1342  | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                                   | 2.624 | 2.624 | 2.624 | 2.624   | 2.624 | 1     | 0      | 0   | 0   |
| 912    | GET    | /api/tag                                          | 0.000 | 0.001 | 0.004 | 0.876   | 0.004 | 912   | 0      | 0   | 0   |
| 130    | GET    | ^/api/user/[^/]+/livestream                       | 0.004 | 0.003 | 0.012 | 0.424   | 0.012 | 130   | 0      | 0   | 0   |
| 133    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.003 | 0.012 | 0.400   | 0.008 | 133   | 0      | 0   | 0   |
| 62     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.005 | 0.016 | 0.304   | 0.016 | 62    | 0      | 0   | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.001 | 0.004 | 0.004   | 0.004 | 4     | 0      | 0   | 0   |
| 1      | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0      | 0   | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0      | 0   | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+-----+-----+
