sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |   SUM   |  P99  |  2XX  |  3XX   | 4XX  | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
| 273878 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.001 | 0.008 | 164.600 | 0.004 | 284   | 273593 | 1    | 0   |
| 27782  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.002 | 0.044 | 50.900  | 0.008 | 27780 | 0      | 2    | 0   |
| 25516  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.002 | 0.044 | 50.604  | 0.008 | 25515 | 0      | 1    | 0   |
| 25545  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.002 | 0.048 | 49.496  | 0.008 | 25545 | 0      | 0    | 0   |
| 5536   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.008 | 0.056 | 46.764  | 0.028 | 5536  | 0      | 0    | 0   |
| 4624   | POST   | /api/icon                                         | 0.004 | 0.009 | 0.080 | 43.464  | 0.044 | 4624  | 0      | 0    | 0   |
| 23331  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.002 | 0.052 | 40.816  | 0.008 | 23331 | 0      | 0    | 0   |
| 13288  | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.002 | 0.032 | 28.160  | 0.008 | 13288 | 0      | 0    | 0   |
| 5879   | POST   | /api/livestream/reservation                       | 0.004 | 0.004 | 0.040 | 22.360  | 0.016 | 1398  | 0      | 4481 | 0   |
| 9846   | GET    | /api/livestream/search                            | 0.004 | 0.002 | 0.028 | 21.888  | 0.008 | 9846  | 0      | 0    | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.004 | 0.040 | 17.940  | 0.012 | 4009  | 0      | 1    | 1   |
| 7702   | GET    | /api/livestream                                   | 0.000 | 0.002 | 0.020 | 13.196  | 0.004 | 7702  | 0      | 0    | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.003 | 0.016 | 10.348  | 0.008 | 4015  | 0      | 2    | 0   |
| 9394   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.001 | 0.008 | 7.136   | 0.004 | 9394  | 0      | 0    | 0   |
| 6075   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.008 | 4.904   | 0.004 | 6075  | 0      | 0    | 0   |
| 2198   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.002 | 0.012 | 4.008   | 0.008 | 2198  | 0      | 0    | 0   |
| 2188   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.000 | 0.002 | 0.016 | 3.608   | 0.008 | 2188  | 0      | 0    | 0   |
| 1      | POST   | /api/initialize                                   | 2.656 | 2.656 | 2.656 | 2.656   | 2.656 | 1     | 0      | 0    | 0   |
| 222    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.008 | 0.032 | 1.820   | 0.024 | 222   | 0      | 0    | 0   |
| 239    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.007 | 0.016 | 1.604   | 0.016 | 239   | 0      | 0    | 0   |
| 220    | GET    | ^/api/user/[^/]+/livestream                       | 0.000 | 0.003 | 0.012 | 0.564   | 0.008 | 220   | 0      | 0    | 0   |
| 221    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.002 | 0.008 | 0.464   | 0.008 | 221   | 0      | 0    | 0   |
| 62     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.003 | 0.008 | 0.204   | 0.008 | 62    | 0      | 0    | 0   |
| 1      | GET    | /api/payment                                      | 0.004 | 0.004 | 0.004 | 0.004   | 0.004 | 1     | 0      | 0    | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 4     | 0      | 0    | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0      | 0    | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
