COMMAND                   AVG_CPU%
nginx                        119.2
pidstat                        0.4
rcu_sched                      0.1
landscape-sysin                0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
packagekitd                    0.0
kworker/u4:4-ext4-rsv-conversion       0.0
kworker/u4:0-ext4-rsv-conversion       0.0
kworker/0:1H-kblockd           0.0
irqbalance                     0.0
dbus-daemon                    0.0
