sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T09:50:52.720Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T09:50:52.719Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T09:50:52.720Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T09:50:52.720Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T09:50:52.720Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T09:50:52.720Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T09:50:52.720Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T09:50:55.365Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T09:50:59.728Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T09:50:59.728Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.737Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.749Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.749Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.754Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.756Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:50:59.761Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.761Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.783Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.789Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.790Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.790Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.800Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:50:59.803Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.809Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.813Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.821Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.821Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.821Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.831Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.831Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.831Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.846Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T09:50:59.849Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.858Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:50:59.862Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.862Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.862Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.871Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.871Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.872Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.872Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.876Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.876Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.876Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.893Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.893Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.893Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.893Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.898Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.898Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.898Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.931Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.931Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.931Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.931Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.953Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.953Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:50:59.960Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.978Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:50:59.978Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:50:59.981Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:50:59.982Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.982Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:50:59.987Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:50:59.987Z	info	staff-logger	scenario/viewer.go:76	visit user profile
2026-09-22T09:50:59.994Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:50:59.998Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.037Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.037Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.037Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.037Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.055Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.055Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T09:51:00.055Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T09:51:00.055Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T09:51:00.094Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T09:51:00.104Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T09:51:00.104Z	info	staff-logger	scenario/viewer.go:56	visit top
