sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |  SUM   |  P99  |  2XX  |  3XX   | 4XX  | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| 29889  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.002 | 0.036 | 53.648 | 0.008 | 29888 | 0      | 1    | 0   |
| 29923  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.004 | 0.002 | 0.088 | 52.388 | 0.008 | 29923 | 0      | 0    | 0   |
| 32323  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.002 | 0.040 | 50.796 | 0.004 | 32322 | 0      | 1    | 0   |
| 27352  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.002 | 0.096 | 41.404 | 0.004 | 27352 | 0      | 0    | 0   |
| 5367   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.007 | 0.044 | 37.476 | 0.024 | 5367  | 0      | 0    | 0   |
| 326830 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.000 | 0.499 | 25.958 | 0.004 | 648   | 326182 | 0    | 0   |
| 12463  | GET    | ^/api/livestream/[0-9]+/report                    | 0.000 | 0.002 | 0.028 | 24.268 | 0.008 | 12463 | 0      | 0    | 0   |
| 5844   | POST   | /api/livestream/reservation                       | 0.000 | 0.003 | 0.036 | 19.940 | 0.012 | 1398  | 0      | 4446 | 0   |
| 9407   | GET    | /api/livestream/search                            | 0.000 | 0.002 | 0.020 | 18.616 | 0.008 | 9407  | 0      | 0    | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.004 | 0.060 | 17.052 | 0.012 | 4009  | 0      | 1    | 1   |
| 8299   | GET    | /api/livestream                                   | 0.000 | 0.002 | 0.016 | 13.296 | 0.004 | 8299  | 0      | 0    | 0   |
| 4623   | POST   | /api/icon                                         | 0.044 | 0.003 | 0.048 | 12.292 | 0.008 | 4623  | 0      | 0    | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.003 | 0.016 | 10.292 | 0.008 | 4015  | 0      | 2    | 0   |
| 8899   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.001 | 0.008 | 6.516  | 0.004 | 8899  | 0      | 0    | 0   |
| 6067   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.008 | 4.780  | 0.004 | 6067  | 0      | 0    | 0   |
| 2554   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.002 | 0.028 | 4.284  | 0.004 | 2554  | 0      | 0    | 0   |
| 2545   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.001 | 0.012 | 3.656  | 0.004 | 2545  | 0      | 0    | 0   |
| 1      | POST   | /api/initialize                                   | 2.548 | 2.548 | 2.548 | 2.548  | 2.548 | 1     | 0      | 0    | 0   |
| 249    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.009 | 0.068 | 2.352  | 0.052 | 249   | 0      | 0    | 0   |
| 278    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.006 | 0.016 | 1.792  | 0.016 | 278   | 0      | 0    | 0   |
| 247    | GET    | ^/api/user/[^/]+/livestream                       | 0.000 | 0.002 | 0.020 | 0.532  | 0.008 | 247   | 0      | 0    | 0   |
| 248    | GET    | ^/api/user/[^/]+/theme                            | 0.000 | 0.002 | 0.012 | 0.476  | 0.008 | 248   | 0      | 0    | 0   |
| 62     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.000 | 0.003 | 0.012 | 0.188  | 0.012 | 62    | 0      | 0    | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.001 | 0.004 | 0.004  | 0.004 | 4     | 0      | 0    | 0   |
| 1      | GET    | /api/payment                                      | 0.004 | 0.004 | 0.004 | 0.004  | 0.004 | 1     | 0      | 0    | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1     | 0      | 0    | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
