sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+------+--------+-----+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |  SUM   |  P99  | 2XX  |  3XX   | 4XX | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+------+--------+-----+-----+
| 415370 | GET    | ^/api/user/[^/]+/icon                             | 0.004 | 0.000 | 0.500 | 38.789 | 0.004 | 600  | 414770 | 0   | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.006 | 0.044 | 22.552 | 0.012 | 4009 | 0      | 1   | 1   |
| 9332   | GET    | /api/livestream/search                            | 0.000 | 0.002 | 0.016 | 22.092 | 0.008 | 9332 | 0      | 0   | 0   |
| 8859   | GET    | /api/livestream                                   | 0.000 | 0.002 | 0.016 | 16.140 | 0.008 | 8859 | 0      | 0   | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.003 | 0.012 | 12.564 | 0.008 | 4015 | 0      | 2   | 0   |
| 4563   | POST   | /api/icon                                         | 0.004 | 0.003 | 0.048 | 12.440 | 0.008 | 4563 | 0      | 0   | 0   |
| 5434   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.016 | 5.188  | 0.004 | 5434 | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                                   | 2.736 | 2.736 | 2.736 | 2.736  | 2.736 | 1    | 0      | 0   | 0   |
| 320    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.008 | 0.028 | 2.652  | 0.016 | 320  | 0      | 0   | 0   |
| 318    | GET    | ^/api/user/[^/]+/livestream                       | 0.004 | 0.003 | 0.008 | 0.828  | 0.008 | 318  | 0      | 0   | 0   |
| 319    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.002 | 0.008 | 0.768  | 0.008 | 319  | 0      | 0   | 0   |
| 2      | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.004 | 0.004 | 0.008  | 0.004 | 2    | 0      | 0   | 0   |
| 1      | POST   | /api/livestream/reservation                       | 0.004 | 0.004 | 0.004 | 0.004  | 0.004 | 1    | 0      | 0   | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 4    | 0      | 0   | 0   |
| 2      | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 2    | 0      | 0   | 0   |
| 2      | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 2    | 0      | 0   | 0   |
| 3      | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 3    | 0      | 0   | 0   |
| 1      | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1    | 0      | 0   | 0   |
| 1      | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1    | 0      | 0   | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+------+--------+-----+-----+
