sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T11:15:35.487Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T11:15:35.487Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T11:15:35.487Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T11:15:35.487Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T11:15:35.487Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T11:15:35.487Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T11:15:35.487Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T11:15:38.209Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T11:15:42.556Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T11:15:42.556Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T11:15:42.565Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
