    t     req newconn  fullhs      h2
    0       2       2       2       0
    5    2648     175     175       0
   10   48961    1689    1689       0
   15   51936    1766    1766       0
   20   52232    1825    1825       0
   25   50242    2047    2047       0
   30   48160    2002    2002       0
   35   49072    2023    2023       0
   40   54029    1592    1592       0
   45   57973    1033    1033       0
   50   56102    1020    1020       0
   55   58608     980     980       0
   60   54648    1004    1004       0
   65   50200     836     836       0
